,2017/18,2018/19,2019/20,2020/21,2021/22
1,Man City,Man City,Liverpool,Man City,Man City
2,Man Utd,Liverpool,Man City,Man Utd,Liverpool
3,Tottenham,Chelsea,Man Utd,Liverpool,Chelsea
4,Liverpool,Tottenham,Chelsea,Chelsea,Tottenham
5,Chelsea ,Arsenal,Leicester City,Leicester City,Arsenal
6,Arsenal,Man Utd,Tottenham,West Ham,Man Utd
7,Burnley,Wolves,Wolves,Tottenham,West Ham
8,Everton,Everton,Arsenal,Arsenal,Leicester City
9,Leicester City,Leicester City,Sheffield Utd,Leeds Utd,Brighton
10,Newcastle Utd,West Ham,Burnley,Everton,Wolves
11,Crystal Palace,Watford,Southampton,Aston Villa,Newcastle Utd
12,Bournemouth,Crystal Palace,Everton,Newcastle Utd,Crystal Palace
13,West Ham,Newcastle,Newcastle Utd,Wolves,Brentford
14,Watford,AFC Bournemouth,Crystal Palace,Crystal Palace,Aston Villa
15,Brighton,Burnley,Brighton,Southampton ,Southampton
16,Huddersfield Town,Southampton,West Ham,Brighton,Everton
17,Southampton,Brighton,Aston Villa,Burnley,Leeds Utd
18,Swansea,Cardiff City,Bournemouth,Fulham,Burnley
19,Stoke City,Fulham,Watford,W.B. Albion,Watford
20,W.B. Albion,Huddersfield Town,Norwich City,Sheffield Utd,Norwich City
